filename,bytes,w,h,sha1,origin_url,cf_link,cf_link_enc
afisler.aspxtop1Bim_AfisKey992_001.webp,307418,1127,1690,ed126ad88f05b85a77a624ab003e9860fe230545,https://cdn1.bim.com.tr/uploads/afisler/515f56bb-ff9d-49fc-b3fc-74ba4c7bcab0.jpg,"https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https://cdn1.bim.com.tr/uploads/afisler/515f56bb-ff9d-49fc-b3fc-74ba4c7bcab0.jpg","https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https%3A%2F%2Fcdn1.bim.com.tr%2Fuploads%2Fafisler%2F515f56bb-ff9d-49fc-b3fc-74ba4c7bcab0.jpg"
afisler.aspxtop1Bim_AfisKey992_002.webp,261040,1127,1690,0bb2ed560966f90eb59b35832ce27169da692978,https://cdn1.bim.com.tr/uploads/afisler/19ebe9d8-e9df-49fc-b524-54b9564b06be.jpg,"https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https://cdn1.bim.com.tr/uploads/afisler/19ebe9d8-e9df-49fc-b524-54b9564b06be.jpg","https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https%3A%2F%2Fcdn1.bim.com.tr%2Fuploads%2Fafisler%2F19ebe9d8-e9df-49fc-b524-54b9564b06be.jpg"
afisler.aspxtop1Bim_AfisKey992_003.webp,263898,1127,1690,98d1a62456eeb15112d1877a0e12194ccc5812ae,https://cdn1.bim.com.tr/uploads/afisler/a9b44487-e15b-4b53-afe0-5157daca91e0.jpg,"https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https://cdn1.bim.com.tr/uploads/afisler/a9b44487-e15b-4b53-afe0-5157daca91e0.jpg","https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https%3A%2F%2Fcdn1.bim.com.tr%2Fuploads%2Fafisler%2Fa9b44487-e15b-4b53-afe0-5157daca91e0.jpg"
afisler.aspxtop1Bim_AfisKey992_004.webp,240760,1127,1690,8a27585cb10f196e3cb404764c5507c272ae8e30,https://cdn1.bim.com.tr/uploads/afisler/df1b1b62-2a30-4536-9efc-56c2523c5c5f.jpg,"https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https://cdn1.bim.com.tr/uploads/afisler/df1b1b62-2a30-4536-9efc-56c2523c5c5f.jpg","https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https%3A%2F%2Fcdn1.bim.com.tr%2Fuploads%2Fafisler%2Fdf1b1b62-2a30-4536-9efc-56c2523c5c5f.jpg"
afisler.aspxtop1Bim_AfisKey992_005.webp,293116,1127,1690,162ab1a22275aa5555f4a090fa5a982c085f73af,https://cdn1.bim.com.tr/uploads/afisler/901a9a27-8dd4-48eb-b62e-0fe4f6ebf181.jpg,"https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https://cdn1.bim.com.tr/uploads/afisler/901a9a27-8dd4-48eb-b62e-0fe4f6ebf181.jpg","https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https%3A%2F%2Fcdn1.bim.com.tr%2Fuploads%2Fafisler%2F901a9a27-8dd4-48eb-b62e-0fe4f6ebf181.jpg"
afisler.aspxtop1Bim_AfisKey992_006.webp,256664,1127,1690,ee141b788c0a0443f9aa102acaf6f988dcc1cc26,https://cdn1.bim.com.tr/uploads/afisler/da02c4fd-3bd7-41e0-9cd8-bd12e8c4564a.jpg,"https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https://cdn1.bim.com.tr/uploads/afisler/da02c4fd-3bd7-41e0-9cd8-bd12e8c4564a.jpg","https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https%3A%2F%2Fcdn1.bim.com.tr%2Fuploads%2Fafisler%2Fda02c4fd-3bd7-41e0-9cd8-bd12e8c4564a.jpg"
afisler.aspxtop1Bim_AfisKey992_007.webp,219736,1127,1690,075f78fb6d5057f73444bf944e4966011ceeb6c0,https://cdn1.bim.com.tr/uploads/afisler/c06d0b8a-bfd6-4d76-806a-047ebc6ddf83.jpg,"https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https://cdn1.bim.com.tr/uploads/afisler/c06d0b8a-bfd6-4d76-806a-047ebc6ddf83.jpg","https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https%3A%2F%2Fcdn1.bim.com.tr%2Fuploads%2Fafisler%2Fc06d0b8a-bfd6-4d76-806a-047ebc6ddf83.jpg"
afisler.aspxtop1Bim_AfisKey992_008.webp,301524,1127,1690,8c216dfe17d2a9bf57be33ad67253e2d6dbea906,https://cdn1.bim.com.tr/uploads/afisler/e41b2aa4-d467-4d03-9b7c-1b194050a1f7.jpg,"https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https://cdn1.bim.com.tr/uploads/afisler/e41b2aa4-d467-4d03-9b7c-1b194050a1f7.jpg","https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https%3A%2F%2Fcdn1.bim.com.tr%2Fuploads%2Fafisler%2Fe41b2aa4-d467-4d03-9b7c-1b194050a1f7.jpg"
afisler.aspxtop1Bim_AfisKey992_009.webp,287200,1127,1690,ff57a5f99150c411c36cac8f0c7e40415ed4788a,https://cdn1.bim.com.tr/uploads/afisler/57d11748-dc0f-4253-a699-5c82ba8fba7e.jpg,"https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https://cdn1.bim.com.tr/uploads/afisler/57d11748-dc0f-4253-a699-5c82ba8fba7e.jpg","https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https%3A%2F%2Fcdn1.bim.com.tr%2Fuploads%2Fafisler%2F57d11748-dc0f-4253-a699-5c82ba8fba7e.jpg"
afisler.aspxtop1Bim_AfisKey992_010.webp,312952,1127,1690,8c3ed13b9a6d0610154301ef030b4f4edace1919,https://cdn1.bim.com.tr/uploads/afisler/8d0968eb-fda0-415d-a480-f3574348277c.jpg,"https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https://cdn1.bim.com.tr/uploads/afisler/8d0968eb-fda0-415d-a480-f3574348277c.jpg","https://resimler-211.pages.dev/Brochures/Brochures/BIM/cdn-cgi/image/format=auto,quality=85/https%3A%2F%2Fcdn1.bim.com.tr%2Fuploads%2Fafisler%2F8d0968eb-fda0-415d-a480-f3574348277c.jpg"
